name,nameScientific,nameCN,namePinyin,property,meridianTropism,flavour,toxicology,storage,characteristics,placeOfOrigin,medicinePart,method,effect,usage,dosage,prohibition,imageLink
Monkfruit,Siraitia grosvenorii,罗汉果,Luo Han Guo,凉 Cool,"脾经 Spleen,脾经 Spleen",甘 Sweet,,"Store in a dry place, mildew-proof, moth-proof","The fruit is spherical or oblong, 6-11 cm long, 4-8 cm in diameter, with dense yellow-brown hairs and mixed black glandular scales at first, and gradually falls off after old age, leaving only a ring of hairs on the fruiting stem, and the peel is thin , brittle after drying. Many seeds, light yellow, nearly round or broadly ovate, flattened, 15-18 mm long, 10-12 mm wide, blunt at the base, slightly narrow at the top, slightly sunken in the center on both sides, surrounded by radial grooves, There are microwave-shaped eaves on the edge. The flowering period is from May to July, and the fruiting period is from July to September.

The fruit pulp (mesocarp and endocarp ) is spongy and light brown. Seeds oblate, numerous, about 1.5cm long, about 1.2cm wide; light red to brownish red, slightly sunken in the middle of both sides, with radial grooves around, and grooves on the edges. Slight gas, sweet taste. After standing for a long time, there will be powder, which is formed by fructose crystallization.","It is only distributed in China, mainly in western and southwestern Jiangxi, southern Hunan, Guangdong, Guangxi, and southeastern Guizhou. ",Whole,"1. Sore throat and aphonia: 1 Luo Han Guo, sliced, decocted in water , after cooling, drink frequently.

2. Dryness of the lungs, cough, excessive phlegm, dry throat and dry mouth: half a Luo Han Guo, 6g tangerine peel, 100g lean pork . Soak the tangerine peel until soft, scrape off the white, and then cook soup with Luo Han Guo and lean meat . After cooking, remove the mangosteen and tangerine peel, drink the soup and eat meat. ","Clearing away heat and nourishing the lungs, soothing the throat and opening the tone, smoothing the intestines and laxative.","For dry cough due to lung heat, sore throat and aphonia, intestinal dryness and constipation.",9-15g.,Contraindicated for those with spleen and stomach deficiency .,https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fluohanguo.jpg?alt=media&token=3b822419-0106-4f37-9f64-621b0cf9486f
,,络石藤,Luo Shi Teng,寒 Cold,"心经 Heart,肝经 Liver,肾经 Kidney","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,麻黄,Ma Huang,温 Warm,"肺经 Lung,膀胱经 Bladder","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,麻黄根,Ma Huang Gen,平 Neutral,肺经 Lung,"甘 Sweet,涩 Astringent",,,,,,,,,,,
,,马鞭草,Ma Bian Cao,寒 Cold,"肝经 Liver,脾经 Spleen","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,马齿苋,Ma Chi Xian,寒 Cold,"大肠经 Large Intestine,肝经 Liver",酸 Sour,,,,,,,,,,,
,,马兜铃,Ma Dou Ling,寒 Cold,"肺经 Lung,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,马钱子,Ma Qian Zi,寒 Cold,"肝经 Liver,脾经 Spleen",苦 Bitter,,,,,,,,,,,
,,麦冬,Mai Dong,寒 Cold,"心经 Heart,肺经 Lung,胃经 Stomach","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,麦芽,Mai Ya,平 Neutral,"脾经 Spleen,胃经 Stomach",甘 Sweet,,,,,,,,,,,
,,满山红,Man Shan Hong,寒 Cold,肺经 Lung,"辛 Pungent,苦 Bitter",,,,,,,,,,,
,,蔓荆子,Man Jing Zi,寒 Cold,"肝经 Liver,胃经 Stomach,膀胱经 Bladder","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,没药,Mo Yao,平 Neutral,"心经 Heart,肝经 Liver,脾经 Spleen","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,玫瑰花,Mei Gui Hua,温 Warm,"肝经 Liver,脾经 Spleen","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,密蒙花,Mi Meng Hua,寒 Cold,肝经 Liver,甘 Sweet,,,,,,,,,,,
,,绵萆薢,Mian Bi Xie,平 Neutral,"肾经 Kidney,胃经 Stomach",苦 Bitter,,,,,,,,,,,
,,明党参,Ming Dang Shen,寒 Cold,"肺经 Lung,脾经 Spleen,肝经 Liver",甘 Sweet,,,,,,,,,,,
,,墨旱莲,Mo Han Lian,寒 Cold,"肾经 Kidney,肝经 Liver","甘 Sweet,酸 Sour",,,,,,,,,,,
,,牡丹皮,Mu Dan Pi,寒 Cold,"心经 Heart,肝经 Liver,肾经 Kidney","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,牡荆叶,Mu Jing Ye,平 Neutral,肺经 Lung,"苦 Bitter,辛 Pungent",,,,,,,,,,,
,,木鳖子,Mu Bie Zi,凉 Cool,"肝经 Liver,脾经 Spleen,胃经 Stomach","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,木瓜,Mu Gua,温 Warm,"肝经 Liver,脾经 Spleen",酸 Sour,,,,,,,,,,,
,,木蝴蝶,Mu Hu Die,凉 Cool,"肺经 Lung,肝经 Liver,胃经 Stomach","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,木通,Mu Tong,寒 Cold,"心经 Heart,小肠经 Small Intestine,膀胱经 Bladder,其他 Others",苦 Bitter,,,,,,,,,,,
,,木香,Mu Xiang,温 Warm,"脾经 Spleen,胃经 Stomach,大肠经 Large Intestine,三焦经,胆经 Gallbladder,其他 Others","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,木贼,Mu Zei,平 Neutral,"肺经 Lung,肝经 Liver","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,南鹤虱,Nan He Shi,平 Neutral,"脾经 Spleen,胃经 Stomach","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,南五味子,Nan Wu Wei Zi,温 Warm,"肺经 Lung,心经 Heart,肾经 Kidney","酸 Sour,甘 Sweet",,,,,,,,,,,
,,闹羊花,Nao Yang Hua,温 Warm,肝经 Liver,辛 Pungent,,,,,,,,,,,
,,牛蒡子,Niu Bang Zi,寒 Cold,"肺经 Lung,胃经 Stomach","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,牛膝,Niu Xi,平 Neutral,"肝经 Liver,肾经 Kidney","苦 Bitter,甘 Sweet,酸 Sour",,,,,,,,,,,
,,女贞子,Nv Zhen Zi,凉 Cool,"肝经 Liver,肾经 Kidney","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,藕节,Ou Jie,平 Neutral,"肝经 Liver,肺经 Lung,胃经 Stomach","甘 Sweet,涩 Astringent",,,,,,,,,,,
,,胖大海,Pang Da Hai,寒 Cold,"肺经 Lung,大肠经 Large Intestine",甘 Sweet,,,,,,,,,,,
,,佩兰,Pei Lan,平 Neutral,"脾经 Spleen,胃经 Stomach,肺经 Lung",辛 Pungent,,,,,,,,,,,
,,枇杷叶,Pi Pa Ye,寒 Cold,"肺经 Lung,胃经 Stomach",苦 Bitter,,,,,,,,,,,
,,偏头七,Pian Tou Qi,寒 Cold,"肝经 Liver,脾经 Spleen,肾经 Kidney","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,平贝母,Ping Bei Mu,寒 Cold,"肺经 Lung,心经 Heart","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,蒲公英,Pu Gong Ying,寒 Cold,"肝经 Liver,胃经 Stomach","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,蒲黄,Pu Huang,平 Neutral,"肝经 Liver,心包经,其他 Others",甘 Sweet,,,,,,,,,,,
,,千金子,Qian Jin Zi,温 Warm,"肝经 Liver,肾经 Kidney,大肠经 Large Intestine",辛 Pungent,,,,,,,,,,,
,,千里光,Qian Li Guang,寒 Cold,"肺经 Lung,肝经 Liver",苦 Bitter,,,,,,,,,,,
,,牵牛子,Qian Niu Zi,寒 Cold,"肺经 Lung,肾经 Kidney,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,前胡,Qian Hu,寒 Cold,肺经 Lung,"苦 Bitter,辛 Pungent",,,,,,,,,,,
,,芡实,Qian Shi,平 Neutral,"脾经 Spleen,肾经 Kidney","甘 Sweet,涩 Astringent",,,,,,,,,,,
,,茜草,Qian Cao,寒 Cold,肝经 Liver,苦 Bitter,,,,,,,,,,,
,,羌活,Qiang Huo,温 Warm,"膀胱经 Bladder,肾经 Kidney","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,秦艽,Qin Jiao,平 Neutral,"胃经 Stomach,肝经 Liver,胆经 Gallbladder","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,青风藤,Qing Feng Teng,平 Neutral,"肝经 Liver,脾经 Spleen","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,青果,Qing Guo,平 Neutral,"肺经 Lung,胃经 Stomach","甘 Sweet,酸 Sour",,,,,,,,,,,
,,青蒿,Qing Hao,寒 Cold,"肝经 Liver,胆经 Gallbladder","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,青皮,Qing Pi,温 Warm,"肝经 Liver,胆经 Gallbladder,胃经 Stomach","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,青葙子,Qing Xiang Zi,寒 Cold,肝经 Liver,苦 Bitter,,,,,,,,,,,
,,青叶胆,Qing Ye Dan,寒 Cold,"肝经 Liver,胆经 Gallbladder,膀胱经 Bladder","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,拳参,Quan Shen,寒 Cold,"肺经 Lung,肝经 Liver,大肠经 Large Intestine","苦 Bitter,涩 Astringent",,,,,,,,,,,
Ginseng,Panax ginseng,人参,Ren Shen,温 Warm,"脾经 Spleen,肺经 Lung,心经 Heart,肾经 Kidney","甘 Sweet,苦 Bitter",Relatively low toxic. Excessive use or misuse may lead to side effects.,"Keep it in a cool, dry place, away from direct sunlight.","The main root of sun-dried ginseng is spindle-shaped or cylindrical, 3-15cm long, 1-2cm in diameter, grayish-yellow in surface, sparse and shallow intermittent thick horizontal stripes and obvious longitudinal wrinkles in the upper part or the whole, and branch roots in the lower part 2-3, with many slender fibrous roots growing together , the rhizome ( reed head ) is 1-4cm long, 0.3-1.5cm in diameter, often contracted and curved, with adventitious roots and sparse dimple-shaped stem scars (reed bowl), The texture is relatively hard, the cross-section is light yellow, powdery, the gas is slightly fragrant and specific, and the taste is slightly bitter and sweet.","Born in the dark and damp forest in the deep mountains. Mainly produced in Jilin, Liaoning and Heilongjiang .",Root of Araliaceae plant ginseng.,"1. Slicing and melting
According to the ""Ginseng Bottom Book"" of the Qing Palace, the Empress Dowager Cixi ""since November 23rd (Guangxu) twenty-sixth year to September 28th twenty-seventh year, a total of three hundred Thirty-one days, three catties of ginseng and one liang of ginseng will be shared. Today, in the eighth month of Derong, the Empress Dowager will pay 1 qian for ginseng every day, and it will be packed on a daily basis. All of them will be handed over to the general manager Guo Yongqing and the eunuch Qin Shangyi to wait on them."" Purchased The best ginseng is often a whole branch, which can be stewed in water until soft, cut into thin slices, dried and stored. Take 3--4 tablets each time, swallow after softening, and finally chew and swallow. It can be eaten in the morning on an empty stomach.

2. Grind it into powder and swallow
it. You can first dry the ginseng slices, then grind it into powder and store it in a porcelain bottle. Take it with warm water every day on an empty stomach. If it is taken together with other medicines, it can be decocted and taken as a medicine juice. Ginseng can also be ground into powder and taken together with related traditional Chinese medicines, such as the ginseng powder in the ancient medical book ""Shenqiao Wanquan Prescription"", which uses ginseng officinalis officinalis, Poria cocos, papaya, Hezi, woody fragrance, grass cardamom, dried ginger, and roasted licorice. Process it into powder, decoct ginger and red dates soup and send it down to treat confidant's bloating, lack of appetite, and weakness of limbs.

3. Make tea and drink
more ginseng whiskers, or ginseng flakes, use 1-3 grams each time, put it in a teacup, pour boiling water, cover it, drink it after 10 minutes, add boiling water as you drink, and finally Chew the ginseng dregs. When brewing, you can add related medicines or foods as needed, such as the tea recipe ginseng and chrysanthemum drink, which is made with ginseng and white chrysanthemum. People with blurred vision, shortness of breath, lazy speech, palpitations, restlessness, and poor sleepiness can drink it often.

4. Decoction
Ginseng decoction is the most commonly prescribed by doctors, especially in emergencies, stewed with unique ginseng decoction, which can replenish vitality and relieve exhaustion, and is quite effective. Ginseng used for health and fitness can be decocted in small doses, or taken in conjunction with other medicines and foods. Such as qi-deficiency constitution, common lack of appetite, pale complexion, lack of breath, laziness in speech, weakness of limbs, loose stool, 3 grams of ginseng, 6 grams of Atractylodes macrocephala, 9 grams of poria cocos, 3 grams of roasted licorice, one dose per day, add water to decoct for two Once, take the decoction and mix it in two doses. Another example is ginseng lotus seed soup, with 3 grams of ginseng. Put 10 lotus seeds together in a small bowl, add water to soak, then add melted rock sugar water, cover, steam for 1 hour, drink soup and eat lotus seeds, chew ginseng together, you can also keep ginseng, and then add lotus seeds; Rock sugar water, steam for 1 hour, then eat together. It is helpful for mental work and brain health.","Tonify vital energy, restore pulse and solidify, invigorate the spleen and lung, promote body fluid, and soothe the nerves. It is used for body deficiency, cold extremities, weak pulse, spleen deficiency, lack of food, lung deficiency , asthma and cough, and thirsty body fluid wound.","1. Tonify vitality: suitable for exhaustion of vitality. a. Deficiency of qi and desire to escape, symptoms include pale complexion, palpitations , restless sweating , faint pulse. b. The qi is depleted and the yang is lost , the above symptoms are combined with cold sweat , and the limbs are not warm. Every use with aconite .

2. Invigorate the spleen and benefit the lung : it can cure spleen and lung qi deficiency . a. Weakness of spleen and stomach , lack of food and loose stools , fatigue and weakness, vomiting and diarrhea, pale tongue and slow pulse. b. Insufficient lung qi , coughing, shortness of breath, fatigue, exercise will benefit more, spontaneous sweating and pulse deficiency, easy to feel wind and cold.

3. Producing body fluid to quench thirst : used for quenching thirst and quenching thirst . a. Thirst on fluid wounds, heat injury to qi and yin, body heat and polydipsia, sweating and body fatigue, large and weak pulse, often used together with gypsum and Anemarrhena . b. Diarrhea due to internal heat, persistent polydipsia, weak pulse, which belongs to internal heat and deficiency of qi and yin. It is often used together with nourishing yin and clearing heat medicine .

4. Tranquilizing the nerves and enhancing intelligence: Indications for restlessness caused by insufficient qi and blood , insomnia and forgetfulness, often formulated with mind-tranquilizing medicines. In addition, it can also be used to treat blood deficiency , impotence and excess of deficiency and evil, all of which take this product for the production of blood, the enhancement of qi and the self-improvement of yang, and the power of strengthening the body and eliminating evil.","1. Stewed serving: Cut ginseng into 2-minute thick slices, put it into a porcelain bowl, fill it with water, seal the mouth of the bowl, place it on the steaming rack in the pot, steam and stew for 4-5 hours before taking.

2. Chewing: Take 2-3 pieces of ginseng and chew them carefully in your mouth. It will refresh you and refresh you. It is cool and delicious. It is the easiest way to take it.

3. Grinding: Grind ginseng into fine powder and swallow it every day. The dosage depends on the body constitution, generally 1-1.5 grams each time.

4. Make tea: Cut ginseng into thin slices, put it in a bowl or cup, wash it with boiling water, cover it for about five minutes before taking it. Repeat the brewing in the same way until there is no ginseng smell.

5. Soaking in wine: Put the whole ginseng or cut it into thin slices into a bottle, soak it in 50-60 degree white wine, and take it every day.","1. People with allergies are not suitable. If rash occurs after taking ginseng, do not take it. Do not take it when there is purulent inflammation.

2. Use with caution in hypertensive patients. Hypertensive patients are those with hyperactivity of liver yang, which can easily cause cerebrovascular accidents after taking it. However, hypertensive patients with deficiency and coldness can use ginseng, but the dosage should be less; when the systolic blood pressure is greater than 180 mm Hg, no matter what type of disease Ginseng should not be taken.

3. It is generally not advisable to take ginseng when you have a cold and fever. Because of severe palpitations during fever, taking ginseng will improve blood circulation, making palpitations worse and even aggravating the condition.

4. Those who have the following symptoms should not use ginseng: asthma caused by sudden stagnation of breath, dry throat caused by dryness and heat, hematemesis and epistaxis caused by impulse.",https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Frenshen.jpg?alt=media&token=c85ecee1-f6f6-4adc-bf54-c3eb81dc4eda
,,人参叶,Ren Shen Ye,寒 Cold,"肺经 Lung,胃经 Stomach","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,忍冬藤,Ren Dong Teng,寒 Cold,"肺经 Lung,胃经 Stomach",甘 Sweet,,,,,,,,,,,
,,肉苁蓉,Rou Cong Rong,温 Warm,"肾经 Kidney,大肠经 Large Intestine","甘 Sweet,咸 Salty",,,,,,,,,,,
,,肉豆蔻,Rou Dou Kou,温 Warm,"脾经 Spleen,胃经 Stomach,大肠经 Large Intestine",N/A,,,,,,,,,,,
,,肉桂,Rou Gui,热 Hot,"肾经 Kidney,脾经 Spleen,心经 Heart,肝经 Liver","辛 Pungent,甘 Sweet",,,,,,,,,,,
,,乳香,Ru Xiang,温 Warm,"心经 Heart,肝经 Liver,脾经 Spleen","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,三白草,San Bai Cao,寒 Cold,"肺经 Lung,膀胱经 Bladder","甘 Sweet,辛 Pungent",,,,,,,,,,,
,,三颗针,San Ke Zhen,寒 Cold,"肝经 Liver,胃经 Stomach,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,三棱,San Leng,平 Neutral,"肝经 Liver,脾经 Spleen","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,三七,San Qi,温 Warm,"肝经 Liver,胃经 Stomach","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,桑白皮,Sang Bai Pi,寒 Cold,肺经 Lung,甘 Sweet,,,,,,,,,,,
,,桑寄生,Sang Ji Sheng,平 Neutral,"肝经 Liver,肾经 Kidney","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,桑叶,Sang Ye,寒 Cold,"肺经 Lung,肝经 Liver","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,桑枝,Sang Zhi,平 Neutral,肝经 Liver,苦 Bitter,,,,,,,,,,,
,,砂仁,Sha Ren,温 Warm,"脾经 Spleen,胃经 Stomach,肾经 Kidney",辛 Pungent,,,,,,,,,,,
,,山慈菇,Shan Ci Gu,凉 Cool,"肝经 Liver,脾经 Spleen","甘 Sweet,辛 Pungent",,,,,,,,,,,
,,山豆根,Shan Dou Gen,寒 Cold,"肺经 Lung,胃经 Stomach",苦 Bitter,,,,,,,,,,,
,,山柰,Shan Nai,寒 Cold,"肺经 Lung,肝经 Liver",苦 Bitter,,,,,,,,,,,
Chinese Yam,Dioscorea polystachya,山药,Shan Yao,平 Neutral,"脾经 Spleen,肺经 Lung,肾经 Kidney",甘 Sweet,,"Store in a cool, well-ventilated and dry place","1. Hairy yam: Cylindrical, curved and slightly flattened, about 15-30 cm long, 1.5-6 boxes in diameter, yellowish-white or brownish-yellow in surface, with obvious longitudinal wrinkles and unremoved cork, and a few root scars. The quality is hard, the section is white, granular and silty. Slight gas, sweet and slightly sour taste, sticky when chewed.

2. Light yam: It is smooth cylindrical, 10-20 cm long and 2-4 cm in diameter. The surface is light yellowish white, smooth. The quality is hard, not easy to break, the section is white and powdery. Slight gas, slightly sweet and sour taste, sticky when chewed. It is better to be firm in quality, powdery enough, and white in color. Mainly produced in Henan. In addition, it is also produced in Hunan, Hubei, Shanxi, Yunnan, Hebei, Shaanxi, Jiangsu, Zhejiang, Jiangxi, Guizhou, Sichuan and other places. Generally, those produced in Henan Bo'ai, Qinyang, Wuzhi, Wenxian and other places (belonging to the ancient Huaiqing) are of the best quality, and they are commonly called Huai yam. In addition to the above-mentioned authentic yams, there are Japanese yams in a few areas (the provinces south of the Yangtze River are mostly wild, and their tubers are commonly called wild yams, soil yams, and the original plants can be found in Fengche Ertiao), trigonum yams (distributed in Yunnan, Sichuan, Tibet) and other tubers of various yams are also used as yams.","Originate from tropical and subtropical regions, including West Africa, the Caribbean Sea, and Central China. and southern China. ",Dry rhizome of yam,"For spleen and stomach weakness. Yam can balance Qi and Yin, and it is also astringent in nature. Therefore, it can be used for diarrhea caused by spleen deficiency, lack of food, tired body, vaginal discharge of women, and indigestion of children. It is often used with ginseng (or Codonopsis pilosula ), Atractylodes macrocephala , and Poria cocos , such as Shenling Baizhu powder .

For lung and kidney deficiency. Chinese yam not only invigorates the qi of the spleen and lungs, but also benefits the yin of the lungs and kidneys, and can strengthen and astringent kidney essence.

To treat cough and asthma due to lung deficiency, or chronic cough and asthma due to deficiency of both lung and kidney, it is often used with ginseng , Ophiopogon japonicus , Schisandra chinensis , etc.

For the treatment of seminal emission and frequent urination due to kidney deficiency, it is often used together with rehmannia glutinosa , dogwood , dodder seed , and golden cherry seed ;
Kidney deficiency is not solid, leukorrhagia is clear and thin, continuous, can be used with rehmannia glutinosa , dogwood , Schisandra chinensis .

It is used for deficiency of yin and internal heat, excessive thirst due to thirst and frequent urination. It has the effect of nourishing qi, nourishing yin, promoting body fluid and quenching thirst. It is often used with astragalus , rehmannia glutinosa , and trichosanthin .","Invigorate the spleen, invigorate the lung, strengthen the kidney, and benefit the essence. Control spleen deficiency diarrhea, chronic dysentery, consumptive cough, thirst, nocturnal emission, leukorrhea, frequent urination. 
Invigorate the spleen and nourish the stomach, promote body fluid and benefit the lung, invigorate the kidney and astringent essence. It is used for spleen deficiency, lack of food, persistent diarrhea, asthma and cough due to lung deficiency, spermatorrhea due to kidney deficiency, leukorrhea, frequent urination, deficiency heat and thirst. Fried yam with bran nourishes the spleen and stomach. ","Used for insufficiency of the spleen, lack of food, loose stools, and excessive leucorrhea.","Oral administration : decoction, 3-6 qian; or into pills or powder. External application: smashed for applying.","1. Yam cannot be eaten with kansui. Yam invigorates the kidney, invigorates the spleen and moistens the lungs, and kansui can stimulate the intestines, increase intestinal peristalsis, and produce a purging effect. The effects of the two are opposite and should not be taken together.

2. Yam should not be eaten with crucian carp, shrimp, carp and other aquatic products. The same food can cause abdominal pain, nausea, vomiting and other symptoms.

3. Yam should not be eaten with pumpkins, carrots, and winter squash. Yam is rich in vitamin C. If it is eaten with pumpkin, carrots, and winter squash, the vitamin C in yam will be decomposed and destroyed, resulting in a decrease in the nutritional value of yam.",https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fshanyao.jpeg?alt=media&token=b5a42e34-3910-4057-8aa6-b6d29b02087b
,,山楂,Shan Zha,温 Warm,"脾经 Spleen,胃经 Stomach,肝经 Liver","酸 Sour,甘 Sweet",,,,,,,,,,,
,,山茱萸,Shan Zhu Yu,温 Warm,"肝经 Liver,肾经 Kidney","酸 Sour,涩 Astringent",,,,,,,,,,,
,,商陆,Shang Lu,寒 Cold,"肺经 Lung,脾经 Spleen,肾经 Kidney,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,蛇床子,She Chuang Zi,温 Warm,肾经 Kidney,"辛 Pungent,苦 Bitter",,,,,,,,,,,
,,射干,She Gan,寒 Cold,肺经 Lung,苦 Bitter,,,,,,,,,,,
,,升麻,Sheng Ma,寒 Cold,"肺经 Lung,脾经 Spleen,胃经 Stomach,大肠经 Large Intestine","辛 Pungent,甘 Sweet",,,,,,,,,,,
,,生姜,Sheng Jiang,温 Warm,"肺经 Lung,脾经 Spleen,胃经 Stomach",辛 Pungent,,,,,,,,,,,
,,蓍草,Shi Cao,平 Neutral,"肺经 Lung,脾经 Spleen,膀胱经 Bladder","苦 Bitter,酸 Sour",,,,,,,,,,,
,,石菖蒲,Shi Chang Pu,温 Warm,"心经 Heart,胃经 Stomach","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,石吊兰,Shi Diao Lan,温 Warm,肺经 Lung,苦 Bitter,,,,,,,,,,,
,,石斛,Shi Hu,寒 Cold,"胃经 Stomach,肾经 Kidney",甘 Sweet,,,,,,,,,,,
,,石榴皮,Shi Liu Pi,温 Warm,大肠经 Large Intestine,"酸 Sour,涩 Astringent",,,,,,,,,,,
,,石韦,Shi Wei,寒 Cold,"肺经 Lung,膀胱经 Bladder","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,使君子,Shi Jun Zi,温 Warm,"脾经 Spleen,胃经 Stomach",甘 Sweet,,,,,,,,,,,
,,柿蒂,Shi Di,平 Neutral,胃经 Stomach,"苦 Bitter,涩 Astringent",,,,,,,,,,,
,,水飞蓟,Shui Fei Ji,凉 Cool,"肝经 Liver,胆经 Gallbladder",苦 Bitter,,,,,,,,,,,
,,丝瓜络,Si Gua Luo,平 Neutral,"肺经 Lung,胃经 Stomach,肝经 Liver",甘 Sweet,,,,,,,,,,,
,,四季青,Si Ji Qing,凉 Cool,"肺经 Lung,大肠经 Large Intestine,膀胱经 Bladder","苦 Bitter,涩 Astringent",,,,,,,,,,,
,,苏合香,Su He Xiang,温 Warm,"心经 Heart,脾经 Spleen",辛 Pungent,,,,,,,,,,,
,,苏木,Su Mu,平 Neutral,"心经 Heart,肝经 Liver,脾经 Spleen","甘 Sweet,咸 Salty",,,,,,,,,,,
,,酸枣仁,Suan Zao Ren,平 Neutral,"肝经 Liver,胆经 Gallbladder,心经 Heart","甘 Sweet,酸 Sour",,,,,,,,,,,
,,娑罗子,Suo Luo Zi,温 Warm,"肝经 Liver,胃经 Stomach",甘 Sweet,,,,,,,,,,,
,,锁阳,Suo Yang,温 Warm,"肝经 Liver,肾经 Kidney,大肠经 Large Intestine",甘 Sweet,,,,,,,,,,,
,,太子参,Tai Zi Shen,平 Neutral,"脾经 Spleen,肺经 Lung","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,檀香,Tan Xiang,温 Warm,"脾经 Spleen,胃经 Stomach,心经 Heart,肺经 Lung",辛 Pungent,,,,,,,,,,,
,,桃仁,Tao Ren,平 Neutral,"心经 Heart,肝经 Liver,大肠经 Large Intestine","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,桃枝,Tao Zhi,平 Neutral,"心经 Heart,肝经 Liver",苦 Bitter,,,,,,,,,,,
,,天冬,Tian Dong,寒 Cold,"肺经 Lung,肾经 Kidney","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,天花粉,Tian Hua Fen,寒 Cold,"肺经 Lung,胃经 Stomach","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,天麻,Tian Ma,平 Neutral,肝经 Liver,甘 Sweet,,,,,,,,,,,
Chinese Arisaema,Rhizoma Arisaematis Preparatum,天南星,Tian Nan Xing,温 Warm,"肺经 Lung,肝经 Liver,脾经 Spleen","苦 Bitter,辛 Pungent",Poisonous,"Store in a ventilated and dry place, mildew-proof and moth-proof","This product is oblate, 1-2cm high and 1.5-6.5cm in diameter. The surface is off-white or light brown, relatively smooth, with sunken stem scars on the top, pitted root scars around, and small oblate lateral buds around some tubers. The quality is hard, not easy to break, the section is uneven, white and powdery. Gas slightly pungent, spicy taste.","Distributed in Hebei, Henan, Guangxi, Shaanxi, Hubei, Sichuan, Guizhou, Yunnan, Shanxi and other places. ",Dried tubers of plants.,"1. Sheng Tian Nan Xing: remove impurities, wash and dry.

2. Preparation of Tiannanxing: take clean Tiannanxing, soak them in water according to their size, and change the water 2 to 3 times a day. Change the water and take it out when the incision feels slightly numb. Put ginger slices and alum in a pot, add appropriate amount of water to boil, pour in Araceae and cook until there is no dry core, take it out, remove the ginger slices, let it dry to 40% to 60% dry, cut into thin slices, and dry. (For every 100kg of Araceae, use 12.5kg each of ginger and alum.) The Aracea is made into round or irregular slices. Yellow or light brown, brittle and brittle, horny in section. Slight gas, astringent taste, slightly numb.","1. Tiannanxing: dissipating stagnation and detumescence.

2. control Araceae: dry dampness and reduce phlegm, dispel wind and relieve convulsion, dissipate stagnation and detumescence.","1. Tiannanxing: External use to treat carbuncle, snake and insect bites.

2. Control Tiannanxing: used for persistent phlegm cough, wind-phlegm dizziness, apoplectic phlegm congestion, slanted mouth and eyes, hemiplegia, epilepsy, convulsions, tetanus; external use for treating carbuncle, snake bites.","1. Tiannanxing: Appropriate amount of raw product for external use, grind into powder, mix with vinegar or wine and apply to the affected area.

2. Araceae: 3-9g.",Pregnant women should use with caution; raw products should be taken orally with caution.,https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Ftiannanxing.jpg?alt=media&token=7e226d28-7be4-49a2-afc6-cef59b9157d0
,,天仙藤,Tian Xian Teng,温 Warm,"肝经 Liver,脾经 Spleen,肾经 Kidney",苦 Bitter,,,,,,,,,,,
